assembly_no,district,cand_no,party,name_kr,name_cn,sex,birthyear,birthmonth,birthday,address,job,education,experience,recommend_priority,votenum,voterate,elected
17,서울 성북구갑,,열린우리당,유재건,柳在乾,남,1937,09,19,,국회의원,연세대학교 정치외교학과 졸업,열린우리당 상임중앙위원||제15대| 16대 국회의원,,44531,42.80,True
17,서울 성북구을,,열린우리당,신계륜,申溪輪,남,1954,08,13,,국회의원,고려대학교 행정학과 졸업,제14대|16대 국회의원||노무현대통령 당선자 비서실장,,54979,51.00,True
17,서울 강북구갑,,열린우리당,오영식,吳泳食,남,1967,02,28,,정당인,고대대학원 박사과정(경영학과) 3학기 휴학,1988년 고려대학교 총학생회장||열린우리당 깨끗한 정치 실천 특위 간사,,36638,46.10,True
17,서울 강북구을,,열린우리당,최규식,崔奎植,남,1953,11,17,,정당인,서울대학교대학원 정치학과 2년수료,한국일보 정치부장. 편집국장||열린우리당 정동영 의장 언론특보,,36206,42.50,True
17,서울 도봉구갑,,열린우리당,김근태,金槿泰,남,1947,02,14,,제16대 국회의원,서울대학교 경제학과 졸업,열린우리당 원내대표,,42583,52.10,True
17,서울 도봉구을,,열린우리당,유인태,柳寅泰,남,1948,09,05,,정치인,서울대 사회학과 졸업,제14대 국회의원(도봉갑)||청와대 정무수석,,42564,47.40,True
17,서울 노원구갑,,열린우리당,정봉주,鄭鳳柱,남,1960,07,02,,(주)외대어학원 대표,한국외국어대학교 영어과 졸업,강남북균형발전주민연대 자문위원||열린우리당 어학교육특별위원장,,36992,42.70,True
17,서울 노원구을,,열린우리당,우원식,禹元植,남,1957,09,18,,노원희망포럼 대표,연세대학교 공과대학 졸업,대통령직인수위 정무분과 자문위원||강남북균형발전 주민연대회의 의장,,44720,41.50,True
17,서울 노원구병,,열린우리당,임채정,林采正,남,1941,05,14,,국회의원,고려대 법대 졸업,제16대 대통령직 인수위원회 위원장||대통령 자원협력특별사절(현),,44923,45.20,True
17,서울 은평구갑,,열린우리당,이미경,李美卿,여,1950,09,20,,정당인,이화여자대학교 대학원 정치외교학과 졸업,열린우리당 상임중앙위원||15·16대 국회의원,,50785,51.80,True
17,서울 은평구을,,한나라당,이재오,李在五,남,1945,01,11,,국회의원,중앙대학교 경제학과 졸업,한나라당 원내총무||국회 정치개혁특별위원장,,53107,45.30,True
17,서울 서대문구갑,,열린우리당,우상호,禹相虎,남,1962,12,19,,정당인,연세대행정대학원 공공정책 석사4학기 재학,87년 연세대학교 총학생회장||열린우리당 보육특별위원회 위원장,,38795,46.10,True
17,서울 서대문구을,,한나라당,정두언,鄭斗彦,남,1957,03,06,,서강대학교 겸임교수,국민대 행정학 박사,행정고시 24회 합격(1980년)||서울특별시 정무부시장(2002.7-2003.10),,39734,45.60,True
17,서울 마포구갑,,열린우리당,노웅래,盧雄來,남,1957,08,03,,정당인(열린우리당부대변인),서울중앙대학교 4년졸업,20개단일노조MBC노동조합위원장||MBC보도국 사회부 차장,,35842,44.20,True
17,서울 마포구을,,열린우리당,정청래,鄭淸來,남,1965,04,18,,정당인,서강대학교공공정책대학원북한통일정책학과,열린우리당 청년대표 중앙위원||시민단체 <국민의 힘> 초대대표,,45405,44.80,True
17,서울 양천구갑,,한나라당,원희룡,元喜龍,남,1964,02,14,,국회의원,서울대학교 법학과 졸업,검사.변호사||제16대 국회의원,,69056,56.60,True
17,서울 양천구을,,열린우리당,김낙순,金洛淳,남,1957,08,24,,정당인,고려대학교 정책대학원 졸업,국회의원 입법 보좌관||`95~`02년 서울시의회의원(제4| 5대),,40658,40.00,True
17,서울 강서구갑,,열린우리당,신기남,辛基南,남,1952,10,16,,국회의원,서울대학교 대학원 법학과 2년수료,제15|16대 국회의원||제17대 총선 선거대책본부장,,63331,51.20,True
17,서울 강서구을,,열린우리당,노현송,盧顯松,남,1954,01,28,,정당인,와세다대대학원 문학연구과박사과정4년수료,고려대교수||민선 제2대 서울강서구청장,,56107,45.50,True
17,서울 구로구갑,,열린우리당,이인영,李仁榮,남,1964,06,28,,정당인,고려대언론대학원정보통신학과2년6월수료,고려대학교 총학생회장||전국대학생대표자협의회 초대의장,,48970,44.70,True
17,서울 구로구을,,열린우리당,김한길,金한길,남,1953,09,17,,정당인,건국대학교 정치외교학과 졸업,청와대정책기획수석||문화관광부 장관,,48673,54.00,True
17,서울 금천구,,열린우리당,이목희,李穆熙,남,1953,09,10,,정당인,서울대학교 사회과학대학 무역학과 졸업,노무현대통령후보 특보||열린우리당 국정자문위원,,49818,42.50,True
17,서울 영등포구갑,,한나라당,고진화,高鎭和,남,1963,02,27,,정당인,연세대학교  정치학과 박사과정 5학기휴학,[미래연대] 공동대표||[한국과 세계] 대표,,37230,37.00,True
17,서울 영등포구을,,한나라당,권영세,權寧世,남,1959,02,24,,국회의원,미국 하버드 케네디스쿨졸업 (1년과정),서울지검 부부장 검사||한나라당 소장파 구당모임 대변인,,41432,43.40,True
17,서울 동작구갑,,열린우리당,전병헌,田炳憲,남,1958,03,17,,정당인,고려대학교 정책대학원 졸업(경제학 석사),열린우리당 정책위 상임부의장||청와대 국정상황실장,,46291,43.30,True
17,서울 동작구을,,열린우리당,이계안,李啓安,남,1952,03,28,,정당인,서울대학교 경영학과 졸업,현대자동차 사장 (46세)||열린우리당 정동영당의장 경제담당 특보,,48402,50.00,True
17,서울 관악구갑,,열린우리당,유기홍,柳基洪,남,1958,06,11,,정당인,서울대학교 인문대학 국사학과 졸업,전 청와대 정책기획실 국장||열린우리당 정책위 부의장,,62694,46.80,True
17,서울 관악구을,,열린우리당,이해찬,李海瓚,남,1952,07,10,,국회의원,서울대학교 사회학과 졸업,제38대 교육부장관||열린우리당 창당기획단장,,49673,41.10,True
17,서울 서초구갑,,한나라당,이혜훈,李惠薰,여,1964,06,15,,연세대학교 교수,미국 UCLA대학교 경제학 박사,UN 경제정책자문위원||영국 레스터 대학교 교수,,54103,56.40,True
17,서울 서초구을,,한나라당,김덕룡,金德龍,남,1941,04,06,,국회의원,서울대학교 사회학과 3년 수료,서울대학교 문과대학 학생회장||대통령후보 경선주자,,53537,54.20,True
17,서울 강남구갑,,한나라당,이종구,李鍾九,남,1950,09,22,,당 정책공약개발단 부단장,서울대학교 경제학과 졸업,재정경제부 금융정책국장||금융감독위원회 상임위원,,76601,63.00,True
17,서울 강남구을,,한나라당,공성진,孔星鎭,남,1953,04,20,,한양대 행정대학원 교수,美클레어몬트대학원 정치학박사(82.9~86.2),EBS 자문위원||미래구상연구소 소장,,70831,57.50,True
17,서울 송파구갑,,한나라당,맹형규,孟亨奎,남,1946,08,09,,국회의원,연세대학교 정치외교학과 졸업,한나라당 정책위원회 부의장||제15|16대 국회의원,,51247,54.10,True
17,서울 송파구을,,한나라당,박계동,朴啓東,남,1952,12,20,,정당인,고려대학교 정치외교학과 졸업,제14대 국회의원||택시기사(금구상운),,42002,49.30,True
17,서울 송파구병,,열린우리당,이근식,李根植,남,1946,02,10,,정당인,서울대학교 법학과 졸업,국민의정부 행정자치부장관,,41205,38.20,True
17,서울 강동구갑,,한나라당,김충환,金忠環,남,1954,03,09,,정당인,서울대 사회과학대학정치학과 졸업,행정고시합격||강동구청장(민선1|2|3기),,55205,47.20,True
17,서울 강동구을,,열린우리당,이상경,李相庚,남,1964,02,22,,변호사,전북대학교 대학원 경제학 박사과정 수료,1990년 사법고시| 행정고시 합격||전주|인천지방법원 판사,,41784,40.10,True
17,부산 서구,,한나라당,유기준,兪奇濬,남,1959,08,10,,변호사,서울대학교 법학과 졸업,사법시험(제25회)합격||한나라당 부산시당 부위원장,,30542,45.00,True
